Top 50 values of username.keyword,Count of records
(blank),"289,767"
Administrator1,"118,521"
Administrator,"75,924"
Administrateur,"39,334"
Administraor,"37,486"
administrator,"32,816"
root,"20,701"
admin,"7,549"
user,"2,395"
ubuntu,"1,701"
support,"1,608"
ADMIN,"1,151"
ADMINISTRATOR,"1,151"
deploy,795
test,777
sa,746
scanner,611
scan,604
scans,604
postgres,574
guest,474
contec,439
debian,429
claude,415
pi,379
dev,359
deployer,338
post,333
minecraft,327
user1,326
ftpuser,305
administrador,292
openclaw,282
admin1,279
bot,266
git,264
server,257
developer,256
runner,253
frappe,251
administrateur,247
sam,241
appuser,239
oracle,236
testuser,236
student,230
alex,220
bob,211
cloud,210
devops,207
