jhin@web-server-vnic:~$ touch clamAVScan.txt
jhin@web-server-vnic:~$ ls
clamAVScan.txt  install_tpot.log  tpotce
jhin@web-server-vnic:~$ sudo clamscan -r -i | tee clamAVScan.txt
/home/jhin/tpotce/data/adbhoney/downloads.tgz.27: Js.Coinminer.Generic-6836639-1 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.5: Unix.Malware.Agent-7359388-0 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.17: Unix.Malware.Agent-7359388-0 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.13: Unix.Dropper.Mirai-7135925-0 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.1: Js.Coinminer.Generic-6836639-1 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.4: Unix.Malware.Agent-7359388-0 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.6: Win.Trojan.Agent-6732758-0 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.12: Win.Trojan.Agent-6732758-0 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.29: Unix.Malware.Agent-7359388-0 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.22: Unix.Malware.Agent-6833692-0 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.24: Js.Coinminer.Generic-6836639-1 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.2: Js.Coinminer.Generic-6836639-1 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.14: Win.Trojan.Agent-6732758-0 FOUND
/home/jhin/tpotce/data/adbhoney/downloads/76ae6d577ba96b1c3a1de8b21c32a9faf6040f7e78d98269e0469d896c29dc64.raw: Unix.Malware.Agent-7359388-0 FOUND
/home/jhin/tpotce/data/adbhoney/downloads/d7188b8c575367e10ea8b36ec7cca067ef6ce6d26ffa8c74b3faa0b14ebb8ff0.raw: Win.Trojan.Agent-6732758-0 FOUND
/home/jhin/tpotce/data/adbhoney/downloads/0d3c687ffc30e185b836b99bd07fa2b0d460a090626f6bbbd40a95b98ea70257.raw: Js.Coinminer.Generic-6836639-1 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.25: Js.Coinminer.Generic-6836639-1 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.10: Unix.Malware.Agent-7359388-0 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.3: Unix.Malware.Agent-7359388-0 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.9: Js.Coinminer.Generic-6836639-1 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.16: Unix.Malware.Agent-7359388-0 FOUND
/home/jhin/tpotce/data/adbhoney/downloads.tgz.11: Js.Coinminer.Generic-6836639-1 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.27: Unix.Trojan.Miner-9993889-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.5: Unix.Trojan.Coinminer-10007719-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.17: Unix.Trojan.Mirai-8041698-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.28: Unix.Trojan.Coinminer-10007864-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.1: Unix.Trojan.Miner-9993889-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.4: Unix.Trojan.Miner-9993889-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.21: Unix.Dropper.Mirai-7136025-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.6: Unix.Trojan.Miner-9993889-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.12: Unix.Trojan.Coinminer-10007864-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.24: Unix.Malware.Xorddos-9856891-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.2: Unix.Trojan.Miner-9993889-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.19: Unix.Trojan.Miner-9993889-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.14: Unix.Malware.Xorddos-9856891-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.7: Unix.Trojan.Coinminer-10007864-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads/a1b6f6e02e20ff240b68a07b53e10af26400281db5522a5d63013050e3f08e47: Unix.Trojan.Miner-9993889-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.30: Unix.Trojan.Miner-9993889-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.10: Unix.Trojan.Miner-9993889-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.9: Unix.Trojan.Miner-9993889-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.16: Unix.Trojan.Miner-9993889-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.26: Unix.Trojan.Miner-9993889-0 FOUND
/home/jhin/tpotce/data/cowrie/downloads.tgz.11: Unix.Trojan.Miner-9993889-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.8: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.4: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.22: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.25: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.3: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.12: Win.Malware.Agent-6404242-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.15: Win.Malware.Agent-6404242-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.24: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.5: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.18: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.21: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.7: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.10: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.1: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.16: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.20: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.2: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.19: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.14: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.11: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.23: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.9: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.13: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.6: Win.Ransomware.Wanna-9769986-0 FOUND
/home/jhin/tpotce/data/dionaea/binaries.tgz.17: Win.Ransomware.Wanna-9769986-0 FOUND
